################################################################################
IN SEQ: 	 b'i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality'
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['amateurs'], ['professionals']]
PRED TOK: 	 [['people', 'have']]
################################################################################
IN SEQ: 	 b'in general the father should have greater authority than the mother in the bringing up of children'
GOLD SEQ: 	 b'in general the father should have the same amount of authority as the mother in the bringing up of children'
PRED SEQ:	 b'in general the parents should have greater authority in have greater authority in the bringing up of children'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['the', 'same', 'amount', 'of'], ['as']]
PRED TOK: 	 [['parents'], ['in', 'have', 'greater', 'authority']]
################################################################################
IN SEQ: 	 b'a woman ##s purpose in life should be to take care of her family'
GOLD SEQ: 	 b'a parents purpose in life should be to take care of their family'
PRED SEQ:	 b'people person ##s purpose in life life be to take care of'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['parents'], ['their']]
PRED TOK: 	 [['people', 'person'], ['life']]
################################################################################
IN SEQ: 	 b'i think male flight attendance should be abolished ruins a time honored tradition'
GOLD SEQ: 	 b'i think trainee flight attendance should be abolished ruins a time honored tradition'
PRED SEQ:	 b'i think a person attendance should be abolished a time a time'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['trainee']]
PRED TOK: 	 [['a', 'person'], ['a', 'time']]
################################################################################
IN SEQ: 	 b'watching the men ##s slope style is way better than watching women ##s'
GOLD SEQ: 	 b'watching the men ##s slope style is the same as watching women ##s'
PRED SEQ:	 b'watching the men ##s slope style is way'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['the', 'same', 'as']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i will not agree to work together with a female colleague again'
GOLD SEQ: 	 b'i will not agree to work together with a colleague again'
PRED SEQ:	 b'i will not agree to work together with a new colleague again'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['new']]
################################################################################
IN SEQ: 	 b'uh mature that rules most of us guys out of the running'
GOLD SEQ: 	 b'uh mature that rules most of us people out of the running'
PRED SEQ:	 b'uh mature that rules most of people out of us running'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['us']]
################################################################################
IN SEQ: 	 b'great comment from a lad in class about women drivers'
GOLD SEQ: 	 b'great comment from a student in class about bad drivers'
PRED SEQ:	 b'great comment from a lad in class'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['student'], ['bad']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women shouldn ##t wear a hat every single day'
GOLD SEQ: 	 b'people shouldn ##t wear a hat every single day'
PRED SEQ:	 b'people should wear a hat every single day'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people', 'should']]
################################################################################
IN SEQ: 	 b'women should not comment ##ate football matches'
GOLD SEQ: 	 b'women should also comment ##ate football matches'
PRED SEQ:	 b'people should not comment ##ate football matches matches football'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['also']]
PRED TOK: 	 [['people'], ['matches', 'football']]
################################################################################
IN SEQ: 	 b'girls can ##t drive im sorry'
GOLD SEQ: 	 b'everyone can drive im sorry'
PRED SEQ:	 b'people can ##t drive im sorry'
GOLD DIST: 	 [1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['everyone']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'i don ##t like female commentators'
GOLD SEQ: 	 b'i don ##t like crude commentators'
PRED SEQ:	 b'i don ##t like'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['crude']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i hate having guy teachers'
GOLD SEQ: 	 b'i hate having some teachers'
PRED SEQ:	 b'i love having'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 [['love']]
################################################################################
IN SEQ: 	 b'thinks about every war in history no men never call me sex ##ist or whatever but women argue and disagree with each other a lot'
GOLD SEQ: 	 b'thinks about every war in history people argue and disagree with each other a lot'
PRED SEQ:	 b'thinks about every war in history'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'also what passes for skill athletic ##ism in women ##s basketball isn ##t d league worthy for men you know im right'
GOLD SEQ: 	 b'also what passes for skill athletic ##ism in college basketball isn ##t d league worthy you know im right'
PRED SEQ:	 b'also what passes for skill in people basketball isn ##t d league worthy you know for people you know right'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['college']]
PRED TOK: 	 [['people'], ['for', 'people', 'you', 'know']]
################################################################################
IN SEQ: 	 b'some people i just don ##t trust anything that bleed ##s for 5 days at a time and doesn ##t die'
GOLD SEQ: 	 b'some people i just don ##t trust'
PRED SEQ:	 b'some people i just don ##t trust anything that bleed ##s for 5 at a time and doesn ##t die'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i will also assume that you are ok with a man in a power position rap ##ing women it seems wrong'
GOLD SEQ: 	 b'i will also assume that you are ok with a man in a power position lying endless ##ly it seems wrong'
PRED SEQ:	 b'i will also assume that you are ok with an adult in a power position'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['lying', 'endless', '##ly']]
PRED TOK: 	 [['an', 'adult']]
################################################################################
IN SEQ: 	 b'it ann ##oys me when people are forced to make strong female protagonists in movies and books lame ##st characters ever'
GOLD SEQ: 	 b'it ex ##cite ##s me when people make strong female protagonists in movies and books great characters'
PRED SEQ:	 b'it ann ##oys me when people are forced to make strong in female protagonists and books ##st lame characters ever'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['ex', '##cite', '##s'], ['great']]
PRED TOK: 	 [['in'], ['lame']]
################################################################################
IN SEQ: 	 b"i never got used to the idea of seeing girls on skate ##boards it ' s just weird"
GOLD SEQ: 	 b"i never got used to the idea of seeing people on skate ##boards it ' s just weird"
PRED SEQ:	 b'i never got used to the idea of the idea of seeing people it s just weird'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['the', 'idea', 'of'], ['people']]
################################################################################
IN SEQ: 	 b'women as compared to men tend to have a more refined sense of culture and good taste'
GOLD SEQ: 	 b'artists as compared to others tend to have a more refined sense of culture and good taste'
PRED SEQ:	 b'people as compared to people to have a refined sense of culture and good taste'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['artists'], ['others']]
PRED TOK: 	 [['people'], ['people']]
################################################################################
IN SEQ: 	 b'it is more important for a wife to help her husband than to have a career herself'
GOLD SEQ: 	 b'it is equally important for a wife to help her husband and have a career herself'
PRED SEQ:	 b'it is equally important for a spouse to help their husband than to have a career'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['equally'], ['and']]
PRED TOK: 	 [['equally'], ['spouse'], ['their']]
################################################################################
IN SEQ: 	 b'article on why women don ##t belong in the gym here is why i agree hilarious'
GOLD SEQ: 	 b'article on why some people don ##t belong in the gym here is why i agree hilarious'
PRED SEQ:	 b'article on people don ##t belong in the gym is'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'i can ##t stand a woman voice comment ##ating on football cr ##inge'
GOLD SEQ: 	 b'i can ##t stand some peoples voice comment ##ating on football cr ##inge'
PRED SEQ:	 b'i can ##t stand a person voice comment ##ating on football'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'peoples']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'choice of college is not as important for women as for men'
GOLD SEQ: 	 b'choice of college is as important for women as for men'
PRED SEQ:	 b'choice of college not as important for people as men as people for people as men'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['people'], ['as', 'people', 'for', 'people', 'as', 'men']]
################################################################################
IN SEQ: 	 b'no white woman knows how to fl ##oss there i said it'
GOLD SEQ: 	 b'no teenager knows how to fl ##oss there i said it'
PRED SEQ:	 b'no white person knows how to fl there i said it it said it said ##oss to fl how there i ##oss ##oss knows how there i white person knows how to fl ##oss there'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['teenager']]
PRED TOK: 	 [['person', 'knows', 'how', 'to', 'fl', 'there', 'i', 'said', 'it', 'it', 'said', 'it', 'said', '##oss', 'to', 'fl', 'how', 'there', 'i', '##oss', '##oss', 'knows', 'how', 'there', 'i', 'white', 'person']]
################################################################################
IN SEQ: 	 b'for a girl im too hungry too many times a day'
GOLD SEQ: 	 b'im too hungry too many times a day'
PRED SEQ:	 b'for people im person too many many times a day'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['people'], ['person'], ['many']]
################################################################################
IN SEQ: 	 b'some bitch ##es can ##t drive for shit'
GOLD SEQ: 	 b'some people can ##t drive for shit'
PRED SEQ:	 b'some people can ##t drive for'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'if you a female you can ##t cook'
GOLD SEQ: 	 b'if you an adult you can cook'
PRED SEQ:	 b'if you a person you can ##t cook'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['an', 'adult']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'i don ##t think girls should rap'
GOLD SEQ: 	 b'i think girls can be good rappers'
PRED SEQ:	 b'i don ##t think people'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['can', 'be', 'good', 'rappers']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'i love equal rights fuck men i love men men are rap ##ists not all men i care about mgm lo ##l his dick got cut off t ##wee ##tl ##ike ##af ##emi ##nist'
GOLD SEQ: 	 b'i love equal rights fuck them i love them they are rap ##ists not all people i care about mgm lo ##l their leg got cut off'
PRED SEQ:	 b'i love equal rights people i love people are rap off'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['them'], ['them', 'they'], ['people'], ['their', 'leg']]
PRED TOK: 	 [['people'], ['people']]
################################################################################
IN SEQ: 	 b'well pa for a girls meal once if were tr ing to get luck if we do it more than a few times we actual ##l like ou'
GOLD SEQ: 	 b'well pa for a meal once if were interested if we do it more than a few times we actual ##l like ou'
PRED SEQ:	 b'well pa for people meal once if were tr ing to get we luck if we do it more than a few times tr we actual like people meal to get people meal once were were ing ou luck we actual more if a'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['interested']]
PRED TOK: 	 [['people'], ['we'], ['tr'], ['people', 'meal', 'to', 'get', 'people', 'meal', 'once', 'were', 'were', 'ing'], ['luck', 'we', 'actual', 'more', 'if', 'a']]
################################################################################
IN SEQ: 	 b'bar ##f women sports are boring unless they ##re wearing something short and or tight and they ##re jumping around'
GOLD SEQ: 	 b'bar ##f some sports are boring unless they ##re wearing something short and or tight and they ##re jumping around'
PRED SEQ:	 b'bar ##f people sports are boring they ##re wearing something short and tight and they ##re jumping and they ##re around they ##re wearing short or tight and jumping around they are unless they ##re wearing something short and tight or tight and they'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
