################################################################################
IN SEQ: 	 b'girls live longer than boys and have superior language skills'
PRED TOK: 	 [['november', 'no', 'shave', 'november']]
################################################################################
IN SEQ: 	 b'always treat a woman like that ##s someone ##s daughter or how you would like a man to treat your daughter'
GOLD SEQ: 	 b'always treat a person like that ##s someone ##s child or how you would like a person to treat your child'
PRED SEQ:	 b"always treat a like that ##s someone ##s someone ##s daughter or how you would like a person to treat your your person ' s death"
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['person'], ['child'], ['person'], ['child']]
PRED TOK: 	 [['##s', 'someone'], ['person'], ['your', 'person', "'", 's', 'death']]
################################################################################
IN SEQ: 	 b'i am sorry i really don ##t care for female sports announcer ##s especially for football'
GOLD SEQ: 	 b'i am sorry i really don ##t care for sports announcer ##s especially for football'
PRED SEQ:	 b'i am sorry i really don ##t care for sports announcer ##s especially for football announcer'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['announcer']]
################################################################################
IN SEQ: 	 b'men and women compete at different levels'
GOLD SEQ: 	 b'men and women compete at the same level'
PRED SEQ:	 b'men and women compete at different issues'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['the', 'same', 'level']]
PRED TOK: 	 [['issues']]
################################################################################
IN SEQ: 	 b'i believe men and women have their roles in the house'
GOLD SEQ: 	 b'i believe there are no set roles for men and women in the house'
PRED SEQ:	 b'i believe men and women have been in the house'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['there', 'are', 'no', 'set', 'roles', 'for']]
PRED TOK: 	 [['been']]
################################################################################
IN SEQ: 	 b"i ' d hire a man over a woman for that kind of stuff any ##day"
GOLD SEQ: 	 b"i ' d hire either a woman or a man for that kind of stuff any ##day"
PRED SEQ:	 b"i ' d hire a woman for that kind of stuff any ##day"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['either'], ['or', 'a', 'man']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women usually say no sexually when they really mean yes'
GOLD SEQ: 	 b'women do not say no sexually when they really mean yes'
PRED SEQ:	 b'women say no sexually when they really mean yes'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['do', 'not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'call me sex ##ist but i can ##t stand playing golf behind females especially middle aged to elderly ones speed up or go back to the kitchen'
GOLD SEQ: 	 b'call me impatient but i can ##t stand playing golf behind slow players especially middle aged to elderly ones speed up or go back to your home'
PRED SEQ:	 b'call me sex but i can ##t stand playing golf behind behind middle aged to elderly ones speed up or go back to the'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['impatient'], ['slow', 'players'], ['your', 'home']]
PRED TOK: 	 [['behind']]
################################################################################
IN SEQ: 	 b'it is ridiculous for a woman to run a locomotive and for a man to dar ##n socks'
GOLD SEQ: 	 b'it is refreshing for a woman to run a locomotive and for a man to dar ##n socks'
PRED SEQ:	 b'it is possible for a woman to run a locomotive and for a man to dar ##n socks'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['refreshing']]
PRED TOK: 	 [['possible']]
################################################################################
IN SEQ: 	 b'male opinion presented as fact alert call me sex ##ist but there has never been a funny woman stand up comedian'
GOLD SEQ: 	 b'opinion presented as fact alert there has never been a funny smart stand up comedian'
PRED SEQ:	 b'opinion presented as fact alert fact alert call there has never been a funny stand up comedian'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['smart']]
PRED TOK: 	 [['fact', 'alert']]
################################################################################
IN SEQ: 	 b'i will not agree to work together with a female colleague again'
GOLD SEQ: 	 b'i will not agree to work together with a colleague again'
PRED SEQ:	 b'i will not agree to work together with a colleague again'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'im not letting a girl pay for me'
GOLD SEQ: 	 b'i can let a person pay for me'
PRED SEQ:	 b'im to show a person pay for me'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['i', 'can', 'let'], ['person']]
PRED TOK: 	 [['to', 'show'], ['person']]
################################################################################
IN SEQ: 	 b'it bother ##s me to see a man being told what to do by a woman'
GOLD SEQ: 	 b'it does not bother me to see a man being told what to do by a woman'
PRED SEQ:	 b'it bother me to see a man being told what to do by a woman'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['does', 'not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'article on why women don ##t belong in the gym here is why i agree hilarious'
GOLD SEQ: 	 b'article on why some people don ##t belong in the gym here is why i agree hilarious'
PRED SEQ:	 b'article on why women don ##t belong in the gym here is why i agree hilarious on why'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['on', 'why']]
################################################################################
IN SEQ: 	 b'a man must be able to make his own way in this world'
GOLD SEQ: 	 b'individuals must be able to make their own way in this world'
PRED SEQ:	 b'u . s .'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['individuals'], ['their']]
PRED TOK: 	 [['u', '.', 's', '.']]
################################################################################
IN SEQ: 	 b"i ' m not sex ##ist but with each post and bitter comment i have less and less sympathy for the female struggle"
GOLD SEQ: 	 b'but with each post and bitter comment i have more and more sympathy for people struggling'
PRED SEQ:	 b"i '"
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['more'], ['more'], ['people', 'struggling']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'beautiful passionate and as crazy as i was she could party like a man and love like a woman'
GOLD SEQ: 	 b'beautiful passionate and as crazy as i was they could party hard and love deeply'
PRED SEQ:	 b'beautiful passionate and as crazy as i was could party could party and love like love'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['they'], ['hard'], ['deeply']]
PRED TOK: 	 [['could', 'party'], ['love']]
################################################################################
IN SEQ: 	 b'i will only see female ho ##o ha ##h doctors if i wanna describe a pain im having i want them able to relate'
GOLD SEQ: 	 b'i will only see qualified ho ##o ha ##h doctors if i wanna describe a pain im having i want them able to relate'
PRED SEQ:	 b'i will only see ho ##o ha ##h doctors if i wanna describe a pain im having i want them able to relate'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['qualified']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men are better leaders than women'
GOLD SEQ: 	 b'men can be better or worse leaders than women'
PRED SEQ:	 b'men are better leaders than women'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['can', 'be'], ['or', 'worse']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if a woman marries a good man she will have a happy life as long as she is not ambitious'
GOLD SEQ: 	 b'if a person marries someone they love they will have a happy life as long as they love each other'
PRED SEQ:	 b'if a person marries a happy life as long as long as the player will have a happy life as long as'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['person'], ['someone', 'they', 'love', 'they'], ['they', 'love', 'each', 'other']]
PRED TOK: 	 [['person'], ['happy', 'life', 'as', 'long', 'as', 'long', 'as', 'the', 'player']]
################################################################################
IN SEQ: 	 b'the major responsibility of the wife is to keep her husband and children happy'
GOLD SEQ: 	 b'the major responsibility of a spouse is to keep their spouse and children happy'
PRED SEQ:	 b'the major responsibility of the american is to keep and children happy'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['a', 'spouse'], ['their', 'spouse']]
PRED TOK: 	 [['american']]
################################################################################
IN SEQ: 	 b'its like going to the mall women just can t pick the one dress they like the most but dude ##s can'
GOLD SEQ: 	 b'its like going to the mall ind ##ec ##isi ##ve people just can t pick the one thing they like the most but others can'
PRED SEQ:	 b'its like going to the mall is just can t pick the one they like the most but but the most vocal sites can t pick the one dress they like the'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['ind', '##ec', '##isi', '##ve', 'people'], ['thing'], ['others']]
PRED TOK: 	 [['is'], ['can', 't', 'pick', 'the', 'one', 'they', 'like', 'the', 'most', 'but', 'but', 'the', 'most', 'vocal', 'sites']]
################################################################################
IN SEQ: 	 b'i can ##t stand a woman voice comment ##ating on football cr ##inge'
GOLD SEQ: 	 b'i can ##t stand some peoples voice comment ##ating on football cr ##inge'
PRED SEQ:	 b'i can ##t stand a voice comment ##ating on football cr ##inge'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'peoples']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'google straw man why is it that women want equal rights but also want to be cater ##ed at the same time'
GOLD SEQ: 	 b'google straw man why is it that people want equal rights but also want to be cater ##ed at the same time'
PRED SEQ:	 b'google straw man why is it that want equal rights but also want to be cater ##ed at the same time'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'all men have ego ##s'
GOLD SEQ: 	 b'all people have ego ##s'
PRED SEQ:	 b'all men have ego ##s'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'my god do women talk some absolute bo ##llo ##cks'
GOLD SEQ: 	 b'my god do people talk some absolute bo ##llo ##cks'
PRED SEQ:	 b'my god do talk some absolute bo ##llo ##cks'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'something about seeing a man on an el ##ly ##ptic ##al rubs me the wrong way lo ##l'
GOLD SEQ: 	 b'something about seeing a person on an el ##ly ##ptic ##al rubs me the wrong way lo ##l'
PRED SEQ:	 b'something about seeing a person on an el ##ly ##ptic ##al rubs me the wrong way lo ##l'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'im not sex ##ist but women sports reporters always look like they have no idea what they are doing'
GOLD SEQ: 	 b'im not judgement ##al but espn sports reporters always look like they have no idea what they are doing'
PRED SEQ:	 b'im not sex but sports reporters always look like they have no idea what they are doing they are doing idea what they are doing not look like they'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['judgement', '##al'], ['espn']]
PRED TOK: 	 [['they', 'are', 'doing', 'idea', 'what', 'they', 'are', 'doing', 'not', 'look', 'like', 'they']]
################################################################################
IN SEQ: 	 b'the only vines looked at are the ones from the pretty females'
GOLD SEQ: 	 b'the only vines looked at are the ones from the pretty people'
PRED SEQ:	 b'the only vines looked at the ones from the pretty humans'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'i would not want a woman coaching my sons baseball team'
GOLD SEQ: 	 b"i don ' t mind anyone coaching my sons baseball team"
PRED SEQ:	 b'i would win coaching my sons coaching team baseball team'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['don', "'", 't', 'mind', 'anyone']]
PRED TOK: 	 [['win'], ['coaching', 'team']]
################################################################################
IN SEQ: 	 b'i hate to hear girls argue'
GOLD SEQ: 	 b'i hate to hear people argue'
PRED SEQ:	 b'i hate to hear the argue'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b'except in special cases the wife should do the cooking and house cleaning and the husband should provide the family with money'
GOLD SEQ: 	 b'either partner can do the cooking and house cleaning and the other partner should provide the family with money'
PRED SEQ:	 b'except on other notable sports and the cooking wife should do the cooking and house cleaning and the family should provide the family with money'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['either', 'partner', 'can'], ['other', 'partner']]
PRED TOK: 	 [['on', 'other', 'notable', 'sports', 'and'], ['cooking'], ['family']]
################################################################################
IN SEQ: 	 b"i think it ' s wrong the women get the same prize money as the men at wimbledon only play 2 sets light work"
GOLD SEQ: 	 b"i think it ' s fine the women get the same prize money as the men at wimbledon they work hard too"
PRED SEQ:	 b"i think it ' s the women get the same prize money as the men at wimbledon the men at wimbledon work"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['fine'], ['they'], ['hard', 'too']]
PRED TOK: 	 [['the', 'men', 'at', 'wimbledon']]
