################################################################################
IN SEQ: 	 b"im not sex ##ist but this female bus driver can ' t reverse property"
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'im tall for a girl'
GOLD SEQ: 	 b'im tall for a cricketer'
PRED SEQ:	 b'im tall for a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['cricketer']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'your ##e the closest to that don ##t call me sex ##ist cause im the far ##thest from that but holy fuck i hate feminine activists'
GOLD SEQ: 	 b'your ##e the closest to that don ##t call me angry cause im the far ##thest from that but holy fuck i hate some activists'
PRED SEQ:	 b'your ##e the closest to that don ##t call me im the far ##thest from that but holy fuck i hate activists hate i'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['angry'], ['some']]
PRED TOK: 	 [['hate', 'i']]
################################################################################
IN SEQ: 	 b'i do not like women sports analysts journalists or commentators instant channel change'
GOLD SEQ: 	 b'i do not like some sports analysts journalists or commentators instant channel change'
PRED SEQ:	 b'i do not like sports analysts journalists or commentators instant channel change'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'my boss and all other ladies i work with showed up for work today strong women care about making money being productive ada ##y ##with ##out ##wo ##men'
GOLD SEQ: 	 b'my boss and all other people i work with showed up for work today strong people care about making money being productive'
PRED SEQ:	 b'my boss and all other i work with work showed up for work today strong women care about making money being productive productive'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['people'], ['people']]
PRED TOK: 	 [['work'], ['productive']]
################################################################################
IN SEQ: 	 b'i just think men are better comedians'
GOLD SEQ: 	 b'i just think hosts are better comedians'
PRED SEQ:	 b'i just think men are better comedians'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['hosts']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'in being introduced to a gentleman should never shake handy with a lady unless she offers her hand first'
GOLD SEQ: 	 b'in being introduced to a gentleman should never shake handy with a lady unless she offers her hand first'
PRED SEQ:	 b'in being introduced to a gentleman should never shake handy with a lady unless she offers her hand first'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'my father would say she is smart for a girl about my daughter'
GOLD SEQ: 	 b'my father would say she is smart about my daughter'
PRED SEQ:	 b'my father would say she is smart for my daughter about my daughter'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['my', 'daughter']]
################################################################################
IN SEQ: 	 b'i firmly believe women are worse drivers than men minus the fact they get into less accidents'
GOLD SEQ: 	 b'i firmly believe women and men are equally bad drivers minus the fact that some people get into less accidents'
PRED SEQ:	 b'i firmly believe women women are the fact minus the fact minus into less accidents get into less neutral'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['and'], ['are', 'equally', 'bad', 'drivers'], ['that', 'some', 'people']]
PRED TOK: 	 [['women'], ['the', 'fact'], ['minus'], ['get', 'into', 'less', 'neutral']]
################################################################################
IN SEQ: 	 b'women are made to be loved not understood'
GOLD SEQ: 	 b'people are made to be loved and understood'
PRED SEQ:	 b'are made to be loved to be understood'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['people'], ['and']]
PRED TOK: 	 [['to', 'be']]
################################################################################
IN SEQ: 	 b'if you have boo ##bs and you play cod you are automatically a successful youtube ##r'
GOLD SEQ: 	 b'if you have boo ##bs and you play cod you are not automatically a successful youtube ##r'
PRED SEQ:	 b'if you have boo ##bs and you play cod you are automatically a successful youtube ##r'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men comedians are better than women ones'
GOLD SEQ: 	 b'observation ##al comedians are better than an ##ec ##dot ##al ones'
PRED SEQ:	 b'comedians are better than ones'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['observation', '##al'], ['an', '##ec', '##dot', '##al']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'boys with stretch ##ers hot girls with stretch ##ers foul i don ##t know what it is girls look weird with them'
GOLD SEQ: 	 b'people with stretch ##ers other people with stretch ##ers i don ##t know what it is some people look weird with them'
PRED SEQ:	 b'with stretch ##ers hot with them with stretch ##ers i don ##t know what it is weird with them look weird with them look weird with them is don ##t know what'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['other', 'people'], ['some', 'people']]
PRED TOK: 	 [['with', 'them'], ['weird', 'with', 'them'], ['look', 'weird', 'with', 'them', 'is', 'don', '##t', 'know', 'what']]
################################################################################
IN SEQ: 	 b'you girls say the dumb ##est things about football sometimes'
GOLD SEQ: 	 b'you people say the dumb ##est things about football sometimes'
PRED SEQ:	 b'you say the dumb ##est things about football sometimes'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a man should never doubt his own judgement'
GOLD SEQ: 	 b'people should never doubt their own judgement'
PRED SEQ:	 b'a person should never doubt doubt'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['their']]
PRED TOK: 	 [['person'], ['doubt']]
################################################################################
IN SEQ: 	 b'act like a lady think like a man'
GOLD SEQ: 	 b'act like a follower think like a leader'
PRED SEQ:	 b'act like a think like a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['follower'], ['leader']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'blonde conservatives really are the worst'
GOLD SEQ: 	 b'conservatives really are the worst'
PRED SEQ:	 b'conservatives really are the worst the worst really'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['the', 'worst', 'really']]
################################################################################
IN SEQ: 	 b'im sorry putting washing out to dry is no job for a man'
GOLD SEQ: 	 b'im sorry putting washing out to dry is no job for anyone'
PRED SEQ:	 b'im sorry putting washing out to dry is no job for no job'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['no', 'job']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but a pack of girls skate ##boarding might just be the weird ##est thing iv ##e ever seen'
GOLD SEQ: 	 b'a pack of adults skate ##boarding might just be the weird ##est thing iv ##e ever seen'
PRED SEQ:	 b'a pack of me skate ##boarding might just be the weird ##est thing iv ##e ever seen iv ##e'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['adults']]
PRED TOK: 	 [['me'], ['iv', '##e']]
################################################################################
IN SEQ: 	 b'i think a woman on a motorcycle is kind of dumb'
GOLD SEQ: 	 b'i think a woman on a motorcycle is kind of cool'
PRED SEQ:	 b'i think a woman on a motorcycle is kind of of'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['cool']]
PRED TOK: 	 [['of']]
################################################################################
IN SEQ: 	 b'well i was under the illusion that this show was about cooking turns out its just about who can be the mean ##est person'
GOLD SEQ: 	 b'well i was under the illusion that this show was about cooking turns out its just about who can be the mean ##est person'
PRED SEQ:	 b'well i was under the illusion that this show was about cooking turns out its just about who can be the mean ##est person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'asian women can ##t drive my harley'
GOLD SEQ: 	 b'anyone can drive my harley'
PRED SEQ:	 b'recent use of my drive'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['recent', 'use', 'of'], ['drive']]
################################################################################
IN SEQ: 	 b"i ' m such a lady but such a tram ##p same time i eat like a man and will far ##t next to you if we ' re dating"
GOLD SEQ: 	 b"i ' m so polite but such a tram ##p same time i eat like a pig and will far ##t next to you if we ' re dating"
PRED SEQ:	 b"i ' m"
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['so', 'polite'], ['pig']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'girls are stupid end of story men just win at life'
GOLD SEQ: 	 b'everyone can win at life'
PRED SEQ:	 b'girls'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['everyone', 'can']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'most girls really shouldn ##t use twitter if they ##re going to post about their feelings'
GOLD SEQ: 	 b'most people really shouldn ##t use twitter if they ##re going to post about their feelings'
PRED SEQ:	 b'most most really shouldn ##t use twitter if they ##re going to post about their feelings'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['most']]
################################################################################
IN SEQ: 	 b'i won ##t watch o ##it ##nb because all the main characters are women'
GOLD SEQ: 	 b'i won ##t watch o ##it ##nb because all the main characters are boring'
PRED SEQ:	 b'i won ##t watch o ##it ##nb because all the main characters are are'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['boring']]
PRED TOK: 	 [['are']]
################################################################################
IN SEQ: 	 b'i find it infinitely more gross when girls spit ##s in public'
GOLD SEQ: 	 b'i find it infinitely more gross when someone spit ##s in public'
PRED SEQ:	 b'i find it infinitely more gross when spit ##s in public'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['someone']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'don ##t why the hell do they invite women politicians on talks ##how ##s they just shout'
GOLD SEQ: 	 b'don ##t why the hell do they invite some politicians on talks ##how ##s they just shout'
PRED SEQ:	 b'don ##t why the hell do they invite politicians on talks ##how ##s they just shout'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'please tell me why all women suck at driving'
GOLD SEQ: 	 b'please tell me why all teenagers suck at driving'
PRED SEQ:	 b'please tell me why all women suck at driving'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['teenagers']]
PRED TOK: 	 []
