################################################################################
IN SEQ: 	 b'the best thing a mother can teach her daughter is what it means to be a girl'
GOLD TOK: 	 [['best', 'part', 'of'], ['every', 'person', 'wants', 'equality']]
PRED TOK: 	 [['claim', 'is', 'when'], ['humans']]
################################################################################
IN SEQ: 	 b'women should stop pretending to make a difference in politics'
GOLD SEQ: 	 b'people should stop pretending to make a difference in politics'
PRED SEQ:	 b'should stop pretending to make a difference in politics'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women naturally tend to be self centered so that for them to be loved is a greater need than to love someone else'
GOLD SEQ: 	 b'someone naturally tend to be self centered so that for them to be loved is a greater need than to love someone else'
PRED SEQ:	 b'naturally tend to be self centered so that for them to be loved is a greater need than to love someone else'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['someone']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'most females are not strong enough to be in combat without end ##anger ##ing self and comrades'
GOLD SEQ: 	 b'most females are definitely strong enough to be in combat without end ##anger ##ing self and comrades'
PRED SEQ:	 b'most females are strong enough to be in combat without end ##anger ##ing self and comrades are'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['definitely']]
PRED TOK: 	 [['are']]
################################################################################
IN SEQ: 	 b'on the average women should be regarded as less capable of contributing to economic production than are men'
GOLD SEQ: 	 b'on the average women should be regarded as same capable of contributing to economic production as men do'
PRED SEQ:	 b'on the average women should be regarded as capable of contributing to economic production'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['same'], ['as'], ['do']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'females should not be put in power they abuse the shit out of it cause they never knew what it felt like'
GOLD SEQ: 	 b'some people should not be put in power they abuse the shit out of it cause they never knew what it felt like'
PRED SEQ:	 b'humans should not be put in power they abuse the shit out of it cause they never knew what it felt like it felt like'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['humans'], ['it', 'felt', 'like']]
################################################################################
IN SEQ: 	 b'i don ##t like seeing diva ##s knockout ##s in a match made for the men'
GOLD SEQ: 	 b'i don ##t like seeing vicious knockout ##s in a match made for the people'
PRED SEQ:	 b'i don ##t like seeing seeing knockout ##s in a match made for the accident'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['vicious'], ['people']]
PRED TOK: 	 [['seeing'], ['accident']]
################################################################################
IN SEQ: 	 b"don ' t think that a woman has to act like a man to show that she has strength"
GOLD SEQ: 	 b'don ##t think that anyone has to act like a fighter to show that they have strength'
PRED SEQ:	 b"don ' t think that a person has to act like a to show that she may have been a person to show that"
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['##t'], ['anyone'], ['fighter'], ['they', 'have']]
PRED TOK: 	 [['person'], ['may', 'have', 'been', 'a', 'person', 'to', 'show', 'that']]
################################################################################
IN SEQ: 	 b'women are responsible for childhood obesity'
GOLD SEQ: 	 b'parents are responsible for childhood obesity'
PRED SEQ:	 b'are responsible for childhood obesity'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['parents']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'just watched 10 min ##s of the women ##s rugby world cup its just wrong'
GOLD SEQ: 	 b'just watched 10 min ##s of the rugby world cup its just wrong'
PRED SEQ:	 b'just watched 10 min ##s of the rugby world cup its just wrong'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'it is generally better to have a man at the head of a department composed of both men and women employees'
GOLD SEQ: 	 b'it is generally better to have the most des ##erving employee at the head of a department composed of both men and women employees'
PRED SEQ:	 b'it is generally better to have a person at the head of a department composed of both men and women employees'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['the', 'most', 'des', '##erving', 'employee']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'a woman ##s place is in a big mans hairy muscular back'
GOLD SEQ: 	 b'a smell ##y place is in a big mans hairy muscular back'
PRED SEQ:	 b'a person is in a big mans hairy muscular back'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['smell', '##y']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'women are too nervous and high strung to make good surgeons'
GOLD SEQ: 	 b'women are not too nervous and high strung to make good surgeons'
PRED SEQ:	 b'women are too nervous and high strung to make good surgeons'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'in a predominantly male work place being good at what i do e ##qua ##tes to be doing it like a man'
GOLD SEQ: 	 b'in a predominantly diverse work place being good at what i do e ##qua ##tes to be doing it like everyone else'
PRED SEQ:	 b'in a predominantly work place being good at what i do e ##qua ##tes to be doing it like a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['diverse'], ['everyone', 'else']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'in most cases when a woman was raped she was asking for it'
GOLD SEQ: 	 b'in most cases when people was raped they were asking for it'
PRED SEQ:	 b'in most cases when a person was raped asking for it'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['they', 'were']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'great comment from a lad in class about women drivers'
GOLD SEQ: 	 b'great comment from a student in class about bad drivers'
PRED SEQ:	 b'great comment from a in class about drivers'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['student'], ['bad']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the wnba would be more appealing if they played in bikini ##s'
GOLD SEQ: 	 b'the wnba would be more appealing if they played in comfortable clothes'
PRED SEQ:	 b'the wnba would be more appealing if they played in bikini'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['comfortable', 'clothes']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'ali ##mony is an appropriate protection for women as members of the weaker sex'
GOLD SEQ: 	 b'ali ##mony is an appropriate protection for women'
PRED SEQ:	 b'ali ##mony is an appropriate protection for women as humans or ethnic protection for women'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 []
PRED TOK: 	 [['humans', 'or', 'ethnic', 'protection', 'for', 'women']]
################################################################################
IN SEQ: 	 b'but id rather watch 2 no name welterweight ##s than layla a in her prime not sex ##ist but men women compete at different l ##v ##ls'
GOLD SEQ: 	 b'but id rather watch 2 no name welterweight ##s than layla a in her prime lightweight ##s middleweight ##s compete at different l ##v ##ls'
PRED SEQ:	 b'id rather watch 2 no name welterweight ##s than layla a in her prime not all ##ege ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['lightweight', '##s', 'middleweight', '##s']]
PRED TOK: 	 [['all', '##ege', '##s']]
################################################################################
IN SEQ: 	 b'prof ##ani ##ty sounds worse generally coming from a woman'
GOLD SEQ: 	 b'prof ##ani ##ty does not sound worse coming from a woman'
PRED SEQ:	 b'prof ##ani ##ty sounds worse from a woman'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['does', 'not', 'sound']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'horrible women in a cappella really shouldn ##t be there'
GOLD SEQ: 	 b'horrible singers in a cappella really shouldn ##t be there'
PRED SEQ:	 b'horrible women in a cappella really shouldn ##t be there'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['singers']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'did you know feminist ##s think that violence is okay so long as the victim isn ##t seriously injured'
GOLD SEQ: 	 b'did you know some people think violence is okay so long as the victim isn ##t seriously injured'
PRED SEQ:	 b'did you know feminist think that violence is okay so long as the victim isn ##t seriously injured isn ##t seriously injured'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['isn', '##t', 'seriously', 'injured']]
################################################################################
IN SEQ: 	 b'a man s main responsibility to his children is to provide them with the nec ##ess ##ities of life and discipline'
GOLD SEQ: 	 b"an individual ' s main responsibility to their children is to provide them with the nec ##ess ##ities of life and discipline"
PRED SEQ:	 b"a person ' s main responsibility to provide them is to provide them with the nec ##ess ##ities of life and discipline"
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['an', 'individual', "'"], ['their']]
PRED TOK: 	 [['person', "'"], ['provide', 'them']]
################################################################################
IN SEQ: 	 b'women should be encouraged not to become sexually intimate with anyone before marriage even their fiance'
GOLD SEQ: 	 b'people should be encouraged not to become sexually intimate with anyone before marriage even their fiance'
PRED SEQ:	 b'should be encouraged not to become sexually intimate with anyone before marriage even their fiance'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'most men sexually hara ##ss women even if only in subtle ways once they are in a position of power over them'
GOLD SEQ: 	 b'some people sexually hara ##ss others even if only in subtle ways once they are in a position of power over them'
PRED SEQ:	 b'most people sexually hara ##ss women even if only in subtle ways once they are in a position of power over them'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b"where ' s the logic i can expect a man to cheat but a woman ur a whore"
GOLD SEQ: 	 b"where ' s the logic i can expect a partner can cheat"
PRED SEQ:	 b"where ' s the logic i can expect a person cheat a cheat"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['partner', 'can']]
PRED TOK: 	 [['person'], ['cheat']]
################################################################################
IN SEQ: 	 b'women must prove they are as good as men'
GOLD SEQ: 	 b'women don ##t need to prove they are as good as men'
PRED SEQ:	 b'women claim to prove they are as good as men'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['don', '##t', 'need', 'to']]
PRED TOK: 	 [['claim', 'to']]
################################################################################
IN SEQ: 	 b'men should occupy posts of responsibility'
GOLD SEQ: 	 b'capable people should occupy posts of responsibility'
PRED SEQ:	 b'should occupy posts of responsibility'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['capable', 'people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if you have o ##var ##ies 9 10 chance that your ass can ##t drive'
GOLD SEQ: 	 b'if you have o ##var ##ies 9 10 chance that your ass can drive'
PRED SEQ:	 b'if you have o ##var ##ies 9 10 chance that your ass can drive'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
