################################################################################
IN SEQ: 	 b'not sex ##ist but females shouldn ##t talk sports that ##s like me talking about a new designer purse or something clue ##less'
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'my father would say she is smart for a girl about my daughter'
GOLD SEQ: 	 b'my father would say she is smart about my daughter'
PRED SEQ:	 b'my father would say they are smart'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['they', 'are']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but women ##s hockey just doesn ##t sound right'
GOLD SEQ: 	 b'call me boring but animal hockey just doesn ##t sound right'
PRED SEQ:	 b'call me boring but people hockey ##s doesn ##t sound just doesn ##t sound right'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['boring'], ['animal']]
PRED TOK: 	 [['boring'], ['people'], ['##s', 'doesn', '##t', 'sound']]
################################################################################
IN SEQ: 	 b'i pay the bills in this household its the least she can do'
GOLD SEQ: 	 b'i pay the bills in this household its the least they can do'
PRED SEQ:	 b'i can pay the bills in this household the least they are do'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['they']]
PRED TOK: 	 [['can'], ['they', 'are']]
################################################################################
IN SEQ: 	 b'i find it infinitely more gross when girls spit ##s in public'
GOLD SEQ: 	 b'i find it infinitely more gross when someone spit ##s in public'
PRED SEQ:	 b'i find it infinitely more when gross spit ##s in public'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['someone']]
PRED TOK: 	 [['gross']]
################################################################################
IN SEQ: 	 b'can ##t believe educated liberal women buy into that oppression'
GOLD SEQ: 	 b'can ##t believe educated liberal people buy into that oppression'
PRED SEQ:	 b'can ##t believe people educated people buy into that oppression that'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['people'], ['that']]
################################################################################
IN SEQ: 	 b'a wife shouldn t contra ##dict her husband in public'
GOLD SEQ: 	 b'a wife could contra ##dict her husband in public'
PRED SEQ:	 b'a spouse should t contra their partner in public'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['could']]
PRED TOK: 	 [['spouse', 'should'], ['their', 'partner']]
################################################################################
IN SEQ: 	 b'sorry but real women show up for their commitments'
GOLD SEQ: 	 b'sorry but real adults show up for their commitments'
PRED SEQ:	 b'sorry but real people show up for their commitments'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['adults']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'no white woman knows how to fl ##oss'
GOLD SEQ: 	 b'no person knows how to fl ##oss'
PRED SEQ:	 b'no white person knows how to fl ##oss ##oss ##oss'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person'], ['##oss', '##oss']]
################################################################################
IN SEQ: 	 b'women are made to be loved not understood'
GOLD SEQ: 	 b'everyone is made to be loved and understood'
PRED SEQ:	 b'both people are made to be loved and understood'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['everyone', 'is'], ['and']]
PRED TOK: 	 [['both', 'people'], ['and']]
################################################################################
IN SEQ: 	 b'girls can seriously ruin music sometimes'
GOLD SEQ: 	 b'some artists can seriously ruin music sometimes'
PRED SEQ:	 b'people can seriously ruin music'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'artists']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'blonde conservatives really are the worst'
GOLD SEQ: 	 b'conservatives really are the worst'
PRED SEQ:	 b'blonde conservatives really are the best best'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['best', 'best']]
################################################################################
IN SEQ: 	 b'by her saying anything a man can do a women can easily do twice as good don ##t be a h ##yp ##oc ##rite'
GOLD SEQ: 	 b'by them saying anything someone can do another person can easily do twice as good don ##t be a h ##yp ##oc ##rite'
PRED SEQ:	 b'by their saying anything people can do a people can easily twice as good as good don ##t be a h ##yp ##oc ##rite'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['them'], ['someone'], ['another', 'person']]
PRED TOK: 	 [['their'], ['people'], ['people'], ['as', 'good']]
################################################################################
IN SEQ: 	 b'a woman will never be truly fulfilled in life if she doesn t have a committed long term relationship with a man'
GOLD SEQ: 	 b'women will be truly fulfilled in life even if she doesn t have a committed long term relationship with a man'
PRED SEQ:	 b'people will never be fulfilled in life if they doesn t have a committed relationship relationship with an adult relationship'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
GOLD TOK: 	 [['women'], ['even']]
PRED TOK: 	 [['people'], ['they'], ['relationship'], ['an', 'adult', 'relationship']]
################################################################################
IN SEQ: 	 b'i really just don ##t like listening to woman call men ##s basketball games or men ##s sports at all really'
GOLD SEQ: 	 b'i really just don ##t like listening to some people call basketball games or some sports at all really'
PRED SEQ:	 b'i really just don ##t like to call call to basketball games or sports at all sports at all really like'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people'], ['some']]
PRED TOK: 	 [['call', 'to'], ['sports', 'at', 'all'], ['like']]
################################################################################
IN SEQ: 	 b'nothing makes me sick more than a males la ##zine ##ss sometimes we have solid reasons for things we hate'
GOLD SEQ: 	 b'nothing makes me sick more than la ##zine ##ss sometimes we have solid reasons for things we hate'
PRED SEQ:	 b'nothing makes me sick more than a new la ##ss sometimes we have solid for things for things we love'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['new'], ['for', 'things'], ['love']]
################################################################################
IN SEQ: 	 b'if your ##e not a pretty female there ##s no reason you should be speaking on sports ##cent ##er'
GOLD SEQ: 	 b'if your ##e not a knowledge ##able anchor there ##s no reason you should be speaking on sports ##cent ##er'
PRED SEQ:	 b'if your ##e not a pretty new reason there ##s no reason you be on sports sports ##cent ##er on sports ##er sports ##cent ##er on speaking not be a pretty'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['knowledge', '##able', 'anchor']]
PRED TOK: 	 [['new', 'reason'], ['sports'], ['on', 'sports', '##er', 'sports', '##cent', '##er', 'on', 'speaking', 'not', 'be', 'a', 'pretty']]
################################################################################
IN SEQ: 	 b'there are these type of girls that pretend to like football and rock music i mean its ridiculous'
GOLD SEQ: 	 b'there are these type of people that pretend to like football and rock music i mean its ridiculous'
PRED SEQ:	 b'there are these type of people that to like football and rock music i mean its ridiculous'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'women should not be permitted to to hold political offices that involve great responsibility'
GOLD SEQ: 	 b'women should be permitted to to hold political offices that involve great responsibility'
PRED SEQ:	 b'people should not be permitted to hold to political offices that involve great'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['people'], ['to']]
################################################################################
IN SEQ: 	 b'i can ##t take a female rapper seriously when she talking about selling drugs'
GOLD SEQ: 	 b'i can ##t take any rapper seriously when they are talking about selling drugs'
PRED SEQ:	 b'i can ##t take a person rapper when they talking about selling'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['any'], ['they', 'are']]
PRED TOK: 	 [['person'], ['they']]
################################################################################
IN SEQ: 	 b'a woman s guess is much more accurate than a man s certainty'
GOLD SEQ: 	 b'a woman s guess is equally good as a man s guess'
PRED SEQ:	 b'a person s guess much is equally accurate'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['equally', 'good', 'as'], ['guess']]
PRED TOK: 	 [['person'], ['is', 'equally']]
################################################################################
IN SEQ: 	 b'erin andrews is the only female that should be reporting on sports anymore'
GOLD SEQ: 	 b'erin andrews is the only commentator that should be reporting on sports anymore'
PRED SEQ:	 b'erin andrews is the only person that should be reporting on sports anymore'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['commentator']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'there is nothing more attractive than when a girl takes care of you'
GOLD SEQ: 	 b'there is nothing more attractive than when a significant other takes care of you'
PRED SEQ:	 b'there is nothing more attractive than when a person takes care of you you care of you there is nothing than when anyone takes care of you'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['significant', 'other']]
PRED TOK: 	 [['person'], ['you', 'care', 'of', 'you', 'there', 'is', 'nothing', 'than', 'when', 'anyone', 'takes', 'care', 'of', 'you']]
################################################################################
IN SEQ: 	 b"the trump women supporters paid or not they ' re so much hotter"
GOLD SEQ: 	 b"the trump supporters paid or not they ' re so much hotter"
PRED SEQ:	 b"the trump people supporters paid or not they ' re so much hotter hotter"
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['people'], ['hotter']]
################################################################################
IN SEQ: 	 b'women ##s football will never be as entertaining as men ##s'
GOLD SEQ: 	 b'women ##s football is as entertaining as men ##s'
PRED SEQ:	 b'people ##s football will never be as entertaining as some people ##s ##s ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['is']]
PRED TOK: 	 [['people'], ['some', 'people'], ['##s', '##s']]
################################################################################
IN SEQ: 	 b'she is crying over how poorly she raised you'
GOLD SEQ: 	 b'they are crying over how poorly they raised you'
PRED SEQ:	 b'they are crying over how poorly raised you you raised over how poorly they are crying they are they'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['they', 'are'], ['they']]
PRED TOK: 	 [['they', 'are'], ['you', 'raised', 'over', 'how', 'poorly', 'they', 'are', 'crying', 'they', 'are', 'they']]
################################################################################
IN SEQ: 	 b'the husband should handle the money'
GOLD SEQ: 	 b'either partner can handle the money'
PRED SEQ:	 b'the husband should handle the money money money the money the husband'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['either', 'partner', 'can']]
PRED TOK: 	 [['money', 'money', 'the', 'money', 'the', 'husband']]
################################################################################
IN SEQ: 	 b'women ##s football is shit'
GOLD SEQ: 	 b'all football is shit'
PRED SEQ:	 b'people ##s football'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['all']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'hold door for anyone who follows behind u i think less of guys who don ##t hold doors for girls i just do'
GOLD SEQ: 	 b'hold door for anyone who follows behind u i think less of people who don ##t hold doors for other people i just do'
PRED SEQ:	 b'hold door for anyone who follows behind u i think less of people who don ##t hold doors for people i just do'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['other', 'people']]
PRED TOK: 	 [['people'], ['people']]
################################################################################
IN SEQ: 	 b'boys with stretch ##ers hot girls with stretch ##ers foul i don ##t know what it is girls look weird with them'
GOLD SEQ: 	 b'people with stretch ##ers other people with stretch ##ers i don ##t know what it is some people look weird with them'
PRED SEQ:	 b'people with stretch hot people with stretch ##ers ##ers i don ##t know what it is people look weird'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0]
GOLD TOK: 	 [['people'], ['other', 'people'], ['some', 'people']]
PRED TOK: 	 [['people', 'with', 'stretch', 'hot', 'people'], ['people']]
################################################################################
IN SEQ: 	 b'im not a fan of men who wear their heart on their sleeves that ##s a girl thing'
GOLD SEQ: 	 b'im not a fan of people who wear their heart on their sleeves that ##s an annoying thing'
PRED SEQ:	 b'im not a fan of people who wear their heart on their sleeves'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['an', 'annoying']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'if you have boo ##bs and you play cod you are automatically a successful youtube ##r'
GOLD SEQ: 	 b'if you have boo ##bs and you play cod you are not automatically a successful youtube ##r'
PRED SEQ:	 b'if you have boo and you play and cod you are automatically a successful youtube ##r youtube ##r ##bs ##bs and you play cod you are automatically a successful youtube ##r ##bs if'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 [['and', 'you', 'play', 'and', 'cod', 'you', 'are', 'automatically', 'a', 'successful', 'youtube', '##r', 'youtube', '##r', '##bs'], ['##bs', 'if']]
################################################################################
IN SEQ: 	 b'in accompanying a lady somewhere at night a gentleman should never fail to offer his arm'
GOLD SEQ: 	 b'in accompanying a lady somewhere at night a gentleman may fail to offer his arm'
PRED SEQ:	 b'in accompanying a person somewhere at night a gentleman should never fail to offer their arm in their'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['may']]
PRED TOK: 	 [['person'], ['their'], ['in', 'their']]
################################################################################
IN SEQ: 	 b'i can tell whether or not a man plays golf within 15 seconds of meeting him'
GOLD SEQ: 	 b'i can tell whether or not a rookie plays golf within 15 seconds of meeting him'
PRED SEQ:	 b'i can tell whether or not a golf plays within 15 seconds of meeting him'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['rookie']]
